id,caption,schema,taxNumber,innCode,russian_alias_1,russian_alias_2,russian_alias_3,russian_alias_4,russian_alias_5,russian_alias_6,russian_alias_7,russian_alias_8,russian_alias_9,russian_alias_10,russian_alias_11,russian_alias_12,russian_alias_13,russian_alias_14,russian_alias_15,russian_alias_16,russian_alias_17,russian_alias_18,russian_alias_19,russian_alias_20,russian_alias_21,russian_alias_22,russian_alias_23,russian_alias_24
NK-nAtQBaWLAnYrknkr2j7wsy,State Machine Building Design Bureau Raduga Bereznya,Company,5010031470,5010031470,"открытое акционерное общество государственное машиностроительное конструкторское бюро ""радуга"" имени а.я. березняка","открытое акционерное общество ""государственное машиностроительное конструкторское бюро ""радуга"" имени а.я.березняка""",,,,,,,,,,,,,,,,,,,,,,
NK-SUosTieqwmz7ntgQBdDkH5,Joint Stock Company Research and Production Enterprise Radar MMS,Company,7814027653,7814027653,"открытое акционерное общество ""научно-производственное предприятие ""радар ммс""",генеральный директор- генеральный конструктор анцев георгий владимирович,,,,,,,,,,,,,,,,,,,,,,
NK-SFUpbbKdHY75YMKmgK3QEp,Aktsionernoe Obshchestvo Elektrotyaga,Company,7805230257,7805230257,"акционерное общество ""электротяга""",акционерное общество «электротяга»,,,,,,,,,,,,,,,,,,,,,,
NK-9iEp7sqxGYKEzvhd2qyeWC,Private Military Company Redut,Company,9725026517,9725026517,"общество с ограниченной ответственностью ""редутбезопасность""","общество с ограниченной ответственностью ""редут-безопасность""",,,,,,,,,,,,,,,,,,,,,,
NK-n3U6g7iQhybo648xwo9w9C,MG-Flot LLC,Company,3017041900,3017041900,"общество с ограниченной ответственностью ""трансморфлот""","общество с ограниченной ответственностью ""мг-флот""",,,,,,,,,,,,,,,,,,,,,,
NK-VC4Fmbtufz9GcajQcuUe6A,The 924th Unmanned Aerial Vehicle Center (Military Unit 20924),Organization,5022050639,5022050639,924-й центр беспилотных летательных аппаратов (воинская часть 20924),"федеральное казенное учреждение ""войсковая часть 20924""",,,,,,,,,,,,,,,,,,,,,,
NK-nW2X9UbJMAaMMCSFYwcf32,JSC SPECIAL DESIGN BUREAU OF TRANSPORT MECHANICAL ENGINEERING,Company,7805019624,7805019624,"акционерное общество открытого типа ""специальное машиностроение""","открытое акционерное общество ""специальное конструкторское бюро транспортного машиностроения """,,,,,,,,,,,,,,,,,,,,,,
NK-fqyLrA4tXmdkMNEYNUY7SB,JOINT STOCK COMPANY URAL DESIGN BUREAU OF TRANSPORT ENGINEERING,Company,6623049453,6667002710,оао “укбтм” открытое акционерное общество,"открытое акционерное общество ""уральское конструкторское бюро транспортного машиностроения""",,,,,,,,,,,,,,,,,,,,,,
NK-mDbquYrFvHaU72k3n5WwqH,OJSC Ural Airlines,Company,,6608003013,"открытое акционерное общество авиакомпания ""уральские авиалинии""",открытое акционерное общество авиакомпания «уральские авиалинии»,"открытое акционерное общество авиационная компания ""уральские авиалинии""",,,,,,,,,,,,,,,,,,,,,
NK-U8LWviLum93XKgs9XXtdPb,Nightwolves MC,Company,,7717141880,моторклуб “ночные волки”,"моторклуб, ночные волки","молодежная автономная некоммерческая организация ""ночные волки""",,,,,,,,,,,,,,,,,,,,,
NK-RgsAwHipvhrjEkzmwiz5x7,Limited Liability Company Promtekhnologiya,Company,7708696860,7708696860,общество с ограниченной ответственностью промтехнология,"общество с ограниченной ответственностью ""промтехнология""",,,,,,,,,,,,,,,,,,,,,,
NK-hsGCeFSi6VdpE25RW3msQb,Marine Trans Shipping LLC,Company,3025037914,3025037914,"общество с ограниченной ответственностью ""марин транс шиппинг""",общество с ограниченной ответственностью “марин транс шиппинг”,,,,,,,,,,,,,,,,,,,,,,
NK-jkYesqzTZPmG9oZ6nbswZ5,LLC Albatros,Company,5038127220,5038127220,общество с ограниченной ответственностью альбатрос,"общество с ограниченной ответственностью ""альбатрос""",,,,,,,,,,,,,,,,,,,,,,
NK-D8dPhbF3kwNKUgLL8MKhCc,PJSC UEC-Kuznetsov,Company,6319033379,6319033379,"открытое акционерное общество ""кузнецов""","открытое акционерное общество ""моторостроитель""",,,,,,,,,,,,,,,,,,,,,,
NK-Q2UkkGgQpeU7femaMrXgEX,Promsvyazbank,Company,7744000912,7710301140,"открытое акционерное общество ""промсвязьбанк""","общество с ограниченной ответственностью ""промсвязьавто""",,,,,,,,,,,,,,,,,,,,,,
NK-d5jadWKURgX7Mh86KsSBan,JSC KRONSHTADT TEKHNOLOGII Group of Companies,Company,7808035536,7810199130,кронштадт-технологии группа компаний ао,"закрытое акционерное общество ""транзас""",,,,,,,,,,,,,,,,,,,,,,
NK-nF6U2Utyxn5AZtjCdWEpFr,JSC OBORONENERGO,Company,,7843309525,"открытое акционерное общество ""оборонэнерго""",ао оборонэнерго,"акционерное общество ""оборонэнерго""",,,,,,,,,,,,,,,,,,,,,
NK-D6sVLG9ExnGS5j6ejbVfFo,Joint Stock Company Shipbuilding Plant Named After B Ye Butoma,Organization,9111022140,9111022140,"акционерное общество ""судостроительный завод имени б.е.бутомы""",,,,,,,,,,,,,,,,,,,,,,,
NK-3jhj93akjs5wzAiWiSjBXR,JSC LOMO,Company,7804002321,7804002321,"открытое акционерное общество ""ломо""",,,,,,,,,,,,,,,,,,,,,,,
NK-5LXJagsZHPj2GrxmGxxbTT,Askon JSC,Company,7809009923,7809009923,"закрытое акционерное общество ""аскон""",,,,,,,,,,,,,,,,,,,,,,,
NK-fq4GNFzLgn5w3nfkvZy3xT,Joint Stock Company Tekhnodinamika,Company,7719265496,7719265496,"открытое акционерное общество ""агрегатное конструкторское бюро ""якорь""",,,,,,,,,,,,,,,,,,,,,,,
NK-TBcWgxNzMC9SXeeHURWYQy,JSC Production Association Strela,Company,5609061432,5609061432,"открытое акционерное общество ""производственное объединение ""стрела""",,,,,,,,,,,,,,,,,,,,,,,
NK-SQg4av8jyWDvR6E9xxamgs,JSC NPO Kurganpribor,Company,4501129676,4501129676,"открытое акционерное общество ""научно-производственное объединение ""курганприбор""",,,,,,,,,,,,,,,,,,,,,,,
NK-E7Axw7diDEgmhLio97uqy6,"Zakryte aktsionerne tovarystvo ""Dvyhuny ""Volodymyr Klimov-Motor Sich""",Company,,7743002177,"закрытое акционерное общество ""двигатели ""владимир климов - мотор сич""","закрытое акционерное общество ""двигатели ""владимир климов-мотор сич""",,,,,,,,,,,,,,,,,,,,,,
NK-heY8H4tNZ4gLrjbcNknzsG,Aktsionerne tovarystvo «Naukovo–doslidnyi instytut dvyhuniv»,Company,,7707696113,акционерное общество «научно–исследовательский институт двигателей»,"акционерное общество ""научно-исследовательский институт двигателей""",,,,,,,,,,,,,,,,,,,,,,
NK-WZVtQH3ASksTLPoRD8xM4C,Joint Stock Company Zelenodolsky Project and Design Bureau,Company,1648024290,1648024290,ao зеленодольский завод имени а. м. горького,,,,,,,,,,,,,,,,,,,,,,,
NK-XzqU3gjcyi6wwchNLn9k4z,PUBLIC JOINT STOCK COMPANY SCIENTIFIC PRODUCTION ASSOCIATION STRELA,Company,7103028233,7103028233,"открытое акционерное общество ""научно-производственное объединение ""стрела""",,,,,,,,,,,,,,,,,,,,,,,
NK-TgdqZc3m5ouUkoMx585vJ8,Tupolev JSC,Company,7705313252,7705313252,"открытое акционерное общество ""туполев""",,,,,,,,,,,,,,,,,,,,,,,
NK-dBYuvK6gZEmnftFQDCtBG3,JOINT STOCK COMPANY RESEARCH AND PRODUCTION ASSOCIATION ISKRA,Company,5907001774,5907001774,"открытое акционерное общество научно-производственное объединение ""искра""",,,,,,,,,,,,,,,,,,,,,,,
NK-dKRU68LWdYq8qBW8HWgjKS,Joint Stock Company Avangard,Company,6726504312,6726504312,"открытое акционерное общество ""авангард""",,,,,,,,,,,,,,,,,,,,,,,
NK-kcv6RqVGDKbWMaXuKYcziS,Concern Morinformsystem Agat Joint Stock Company,Company,7720544208,7720544208,"открытое акционерное общество ""концерн ""моринформсистема - агат""",,,,,,,,,,,,,,,,,,,,,,,
NK-n8EdBJ43vW84L9fYqyZSHs,Joint Stock Company DUKS,Company,7714077682,7714077682,"открытое акционерное общество ""дукс""",,,,,,,,,,,,,,,,,,,,,,,
NK-hZZ7Q74zKj9T9tRUCToMLN,Kazan Aircraft Production Plant named after S. P. Gorbunov,Company,,1661020784,казанский авиационный завод имени с. п. горбунова,"открытое акционерное общество ""казанское авиационное производственное объединение имени с.п.горбунова""",,,,,,,,,,,,,,,,,,,,,,
NK-U8P6p4hzZ3tCjfvAxbVT4m,JSC Saturn,Company,5508000955,5508000955,"открытое акционерное общество ""сатурн""",,,,,,,,,,,,,,,,,,,,,,,
NK-HPL3fRHzbzdmygzZZ9CWdF,United Shipbuilding Corporation JSC “Baltic Shipbuilding Factory”,Company,,7801560631,"открытое акционерное общество ""балтийский завод""","акционерное общество ""балтийский завод""",,,,,,,,,,,,,,,,,,,,,,
NK-fY8tZxKqpkb4KyfVDKgn6E,Rybinsk Shipyard Engineering,Company,,7610046760,"закрытое акционерное общество ""рыбинский судостроительный завод""",закрытое акционерное общество «рыбинский судостроительный завод»,,,,,,,,,,,,,,,,,,,,,,
NK-fJNBfsgomyod6V5JXFcQSh,Joint Stock Company Central Design Bureau of Automatics,Company,5506202219,5506048743,"открытое акционерное общество ""центральное конструкторское бюро автоматики""",,,,,,,,,,,,,,,,,,,,,,,
NK-MuVFRrWMR83EvFkvQtUYno,"Tactical Missile Corporation, RKB Globus",Company,6229060995,6229060995,"открытое акционерное общество ""рязанское конструкторское бюро ""глобус""",,,,,,,,,,,,,,,,,,,,,,,
NK-PUoiZTPDehyJijQsNWX45v,"Tactical Missile Corporation, Joint Stock Company GosNIIMash",Company,5249093130,5249093130,"государственный научно-исследовательский институт машиностроения"" им. в.в. бахирева",,,,,,,,,,,,,,,,,,,,,,,
NK-YwirjVyNExvvb8ngt7rqAV,53rd Anti-Aircraft Missile Brigade,Organization,4611010810,4611010810,53-та гвардейска противовъздушна ракетна бригада,,,,,,,,,,,,,,,,,,,,,,,
NK-nR5AXM9AVPq4pQaSPSaVam,JSC Kalashnikov Concern,Company,1832090230,1832090230,"открытое акционерное общество ""концерн ""калашников""",,,,,,,,,,,,,,,,,,,,,,,
NK-bR4w9EB5V3zWHGZwNRmnpD,Joint Stock Company Voskresensky Aggregation Factory,Organization,5005073080,5005073080,"акционерное общество ""воскресенский агрегатный завод""",,,,,,,,,,,,,,,,,,,,,,,
NK-R5mK8BKmrxNiNFRMmoRnE8,"Tactical Missile Company, Joint-Stock Company “Research Center for Automated Design”",Company,,7714022309,"акционерное общество ""научно-исследовательский центр автоматизированных систем конструирования""",ао «научно-исследовательский центр автоматизированных систем конструирования»,,,,,,,,,,,,,,,,,,,,,,
NK-5f2zbGA5Uov7kTFSizWvZG,Joint stock company Zavod Dagdizel,Company,0545001919,0545001919,"открытое акционерное общество ""завод ""дагдизель""",,,,,,,,,,,,,,,,,,,,,,,
NK-cFmG94hFooZ8LbNUfr5RL7,"MKB ""Fakel"" du nom de P.D. Grushin",Company,5047051923,5047051923,"открытое акционерное общество ""машиностроительное конструкторское бюро ""факел"" имени академика п.д.грушина""",,,,,,,,,,,,,,,,,,,,,,,
NK-H62A9T7WLJGEYmxABrWunP,OAO 'DOLGOPRUDNY RESEARCH PRODUCTION ENTERPRISE',Company,5008000322,5008000322,"открытое акционерное общество ""долгопрудненское научно-производственное предприятие""",,,,,,,,,,,,,,,,,,,,,,,
NK-knciH2HsnpEX8gok7oyYM4,NIZHNY NOVGOROD JOINT STOCK COMPANY HYDROMASH NAMED AFTER VI LUZYANIN,Company,5262008630,5262008630,"нижегородское открытое акционерное общество ""гидромаш""",,,,,,,,,,,,,,,,,,,,,,,
NK-A4hVTUZUHPfNBJRnrNykFD,The Foundation for National Values Protection,Company,,7709448606,фонда защиты национальных ценностей,фонд защиты национальных ценностей,,,,,,,,,,,,,,,,,,,,,,
NK-Zys8cH5ZCRrZLSgE7cQCWz,Federalne kazenne pidpryiemstvo «Upravlinnia zamovnyka kapitalnoho budivnytstva Ministerstva oborony Rosiiskoyi Federatsiyi»,Company,,7704684769,федеральное казенное предприятие «управление заказчика капитального строительства министерства обороны российской федерации»,"федеральное казенное предприятие ""управление заказчика капитального строительства министерства обороны российской федерации""",,,,,,,,,,,,,,,,,,,,,,
NK-nuyF9bfDQp8B6NRmKSmCeR,"Entreprise de conception et de production ""Iris"" S.A.",Company,6164295259,6164100647,"открытое акционерное общество ""производственно-конструкторское предприятие ""ирис""",,,,,,,,,,,,,,,,,,,,,,,
NK-fJokELHcQscBF7JseYyqoj,United Engine Corporation,Company,7731644035,7731644035,"открытое акционерное общество ""объединенная двигателестроительная корпорация""",,,,,,,,,,,,,,,,,,,,,,,
NK-FQzfUaE59eLwB24kFpCr8n,JOINT STOCK COMPANY SCIENTIFIC AND PRODUCTION ASSOCIATION IMPULS,Company,7804478424,7804478424,"открытое акционерное общество ""научно-производственное объединение ""импульс""",,,,,,,,,,,,,,,,,,,,,,,
NK-ng7ZJVuZRb7CN4iU8KR5Gg,JSC GPTP GRANIT,Company,7731263174,7731263174,"открытое акционерное общество ""головное производственно-техническое предприятие ""гранит""",,,,,,,,,,,,,,,,,,,,,,,
NK-jyws5zJ8gghNa2iEp2GXjY,JSC “SMP”,Company,,6680000479,акционерное общество “серовский механический завод”,"акционерное общество ""серовский механический завод""",,,,,,,,,,,,,,,,,,,,,,
NK-hM8Y4rfBGmXfqvrxMFcVpv,Joint Stock Company RT-Tekhpriemka,Company,7714710760,7714710760,"открытое акционерное общество ""авиатехприемка""",,,,,,,,,,,,,,,,,,,,,,,
NK-Zx9zExLfybMeGZfWCEHcSD,Empresa Militar Privada Convoy,Organization,4712026246,4712026246,чвк конвой,,,,,,,,,,,,,,,,,,,,,,,
NK-RGFw4PDTwcB5JAxnpGHD9A,Sovfracht JSC,Company,7702059030,7702059030,"открытое акционерное общество ""совфрахт""",,,,,,,,,,,,,,,,,,,,,,,
NK-g65ALnE6VTe5fk2ugN5khD,Azia Shipping Company LLC,Company,2540195189,2540195189,"общество с ограниченной ответственностью ""судоходная компания азиа""",,,,,,,,,,,,,,,,,,,,,,,
NK-hT4K5Nf4vUjDnjKSEKTaUf,Limited Liability Company AK Microtech,Company,7731339867,7731339867,"общество с ограниченной ответственностью ""ак микротех""",,,,,,,,,,,,,,,,,,,,,,,
NK-mVr3diqYYhHhY5B8CE3Pmq,JSC AVIASTAR-SP,Company,7328032711,7328032711,"закрытое акционерное общество ""авиастар-сп""",,,,,,,,,,,,,,,,,,,,,,,
NK-m4iUMa5U2ctgKyWyvT7UXc,JSC “L. N. Koshkin Automatic Line Design Bureau”,Company,,5021003065,"акционерное общество ""конструкторское бюро автоматических линий имени льва николаевича кошкина""",акционерное общество “конструкторское бюро автоматических линий имени льва николаевича кошкина”,,,,,,,,,,,,,,,,,,,,,,
NK-G3gKQVrA2pMdjConfT7Xmm,Oboronlogistika OOO,Company,7718857267,7718857267,"общество с ограниченной ответственностью ""оборонлогистика""",,,,,,,,,,,,,,,,,,,,,,,
NK-edmADh2bCVgQJXcSBYvuGH,JSC Shipyard Vympel,Company,,7610015674,"акционерное общество ""судостроительный завод ""вымпел""",ао кб вымпел or судостроительный завод вымпел,,,,,,,,,,,,,,,,,,,,,,
NK-JuAywhPbvuZNrxfMptouAe,PJSC Zvezda,Company,7811038760,7811038760,"открытое акционерное общество ""звезда""",,,,,,,,,,,,,,,,,,,,,,,
NK-i8GfD2Lo32TvCxwpriDUkY,Public Joint Stock Company Krasnoye Sormovo Shipyard,Company,5263006629,5263006629,"открытое акционерное общество ""красное сормово""",,,,,,,,,,,,,,,,,,,,,,,
NK-ggsHfPTc5bscMK3s2jJYYB,JSC VOSTOCHNAIA VERF,Company,2537009643,2537009643,"""восточная верфь"" открытое акционерное общество",,,,,,,,,,,,,,,,,,,,,,,
NK-RtedTUDap5uMrUnyN4szTF,Tovarystvo z obmezhenoiu vidpovidalnistiu «Nevskyi sudnobudivelno-sudnoremontnyi zavod»,Company,,4706020609,"общество с ограниченной ответственностью ""невский судостроительно-судоремонтный завод""",общество с ограниченной ответственностью «невский судостроительно-судоремонтный завод»,,,,,,,,,,,,,,,,,,,,,,
NK-n3mqNyNNPRiqGcWtWR9Uoq,Tactical Missiles Corporation JSC,Company,5099000013,5099000013,"открытое акционерное общество ""корпорация ""тактическое ракетное вооружение""",,,,,,,,,,,,,,,,,,,,,,,
NK-YYoj2HXaqpgBM4sHUUjR4T,NPP SALYUT JSC,Organization,7720673002,7720673002,,,,,,,,,,,,,,,,,,,,,,,,
NK-6nYfs7RAAKQQTyHztNAuWP,Iskra Engineering Design Bureau JSC named after I.I. Kartukov,Company,7714288059,7713006304,,,,,,,,,,,,,,,,,,,,,,,,
NK-mAsMqf79pCbSXJzjvPbK7C,Joint Stock Company Research Design And Technological Bureau Onega,Company,2902057961,2902057961,,,,,,,,,,,,,,,,,,,,,,,,
NK-n4RNJAaSr6o6HaiG3djnHQ,Joint Stock Company Northern Production Association Arktika,Company,2902057930,2902057930,,,,,,,,,,,,,,,,,,,,,,,,
NK-cDtAzPbNaYCiiQfCtHQtY6,JSC PO Sevmash,Company,2902059091,2902059091,,,,,,,,,,,,,,,,,,,,,,,,
NK-hiPSH868MpuerQ798BPUHL,United Shipbuilding Corporation JSC “Astrakhan Shipyard”,Company,,2902008234,"федеральное государственное унитарное предприятие ""астраханский судоремонтный завод"" министерства обороны российской федерации",,,,,,,,,,,,,,,,,,,,,,,
NK-nWnGF3GjPCdxpBAKD7cR62,United Instrument Manufacturing Corporation,Company,7704859803,7704859803,,,,,,,,,,,,,,,,,,,,,,,,
NK-Xz93wpcQaBUV3h5AdYTg5L,Voentelecom JSC,Company,,7810557610,"открытое акционерное общество ""воентелеком""",,,,,,,,,,,,,,,,,,,,,,,
NK-WkigZvKALQNnrYwf2iBDb9,JSC RPTP Granit,Company,6229031754,6229031754,,,,,,,,,,,,,,,,,,,,,,,,
NK-3kQeFdcMsic5K4qVfpyw2t,Joint Stock Company Special Design Bureau Turbina,Company,74522033815,7452033815,,,,,,,,,,,,,,,,,,,,,,,,
NK-bPaMS9PiLWgHA3gUqfzqDd,PUBLIC JOINT STOCK COMPANY ZAVOD TULA,Company,7104002862,7104002862,,,,,,,,,,,,,,,,,,,,,,,,
NK-BRkuR87VVCej32ZaVHiett,"Tovarystvo z obmezhenoiu vidpovidalnistiu ""Volzki industrialni dvyhuny""",Organization,,7611026936,"общество с ограниченной ответственностью ""волжские индустриальные двигатели""",,,,,,,,,,,,,,,,,,,,,,,
NK-nKTwWkGeWDVNtJDBRwnwJi,"Tovarystvo z obmezhenoiu vidpovidalnistiu ""UZHA-Aviatsiini porshnevi dvyhuny""",Company,,6685152732,"общество с ограниченной ответственностью ""узга-авиационные поршневые двигатели""",,,,,,,,,,,,,,,,,,,,,,,
NK-8M9qae6xNbhorsZZ5XKKzH,Joint Stock Company Battery Company Rigel,Company,7813054118,9728042468,,,,,,,,,,,,,,,,,,,,,,,,
NK-Z9oNBzxf4NzcB6GKXwgPUL,"Joint-stock company ""PMC Wagner Centre""",Company,7811783517,7811783517,,,,,,,,,,,,,,,,,,,,,,,,
NK-ErjGPnLbFdEMNs6sNyt5qD,JSC NPO PRZ,Organization,,5244012779,"акционерное общество ""научно-производственное объединение ""правдинский радиозавод""",,,,,,,,,,,,,,,,,,,,,,,
NK-KXCHSsjxHRxYezARTuK6su,JSC Lantan,Company,7701005930,7701005930,,,,,,,,,,,,,,,,,,,,,,,,
NK-JQh4AbEuaTtrHaJtXKFpJK,Rosfinmonitoring,Company,7708234633,7708234633,,,,,,,,,,,,,,,,,,,,,,,,
NK-9HPc3wHroTLH6dn4gMcwYV,VOENTEKSTILPROM LLC,Company,,7724392193,"общество с ограниченной ответственностью ""воентекстильпром""",,,,,,,,,,,,,,,,,,,,,,,
NK-bZ3Radsso2M5k2VmEMnJMS,JSC Kometa,Company,7723836671,7723836671,,,,,,,,,,,,,,,,,,,,,,,,
NK-hMRSLqViQwQ5PqFnMiePMc,Zavod no 9,Company,6673189640,6673189640,,,,,,,,,,,,,,,,,,,,,,,,
NK-k2PtdJ7WpgT58wpzM55tXZ,Turayev Machine Building Design Bureau Soyuz,Company,5026000759,5026000759,,,,,,,,,,,,,,,,,,,,,,,,
NK-AQU5FyegYsSoQfDh3ZEpoC,JOINT STOCK CORPORATION SHIPBUILDING AND SHIP REPAIR TECHNOLOGY CENTER,Organization,7805482938,7805482938,,,,,,,,,,,,,,,,,,,,,,,,
NK-j7L5SLuXAv8GqNzJuWNepc,"Tovarystvo z obmezhenoiu vidpovidalnistiu ""Sudnobudivna kompaniia ""Kohorta TM""",Organization,,2703091069,"общество с ограниченной ответственностью ""судостроительная компания ""когорта тм""",,,,,,,,,,,,,,,,,,,,,,,
NK-LUufjzckrrK3PuCNJJGGmq,Open Joint Stock Company Samusskiy Sudostroitelno Sudoremontniy Zavod,Company,7014000324,7014000324,,,,,,,,,,,,,,,,,,,,,,,,
NK-E9KnQFfMFz5rwcfKb6SLDv,JSC Design Bureau of Mechanical Engineering,Company,7722307636,7722307636,,,,,,,,,,,,,,,,,,,,,,,,
NK-jqXHr8jsSFcyJZjkP7Jmvd,United Shipbuilding Corporation,Company,7838395215,7838395215,,,,,,,,,,,,,,,,,,,,,,,,
NK-VGXEBCFoqGXtEuKcNNxRN6,Joint Stock Company Shipbuilding Corporation Ak Bars,Company,1648040380,1648040380,,,,,,,,,,,,,,,,,,,,,,,,
NK-N2jxUXvHnBbgexa9V3STdu,Public Joint Stock Company Research & Production Corporation Istok Named After AI Shokin,Company,5050108496,5050108496,,,,,,,,,,,,,,,,,,,,,,,,
NK-S7t99yqQrTAzgJf2UWZ84Y,Union of Donbas Volunteers,Company,9710001943,9710001943,,,,,,,,,,,,,,,,,,,,,,,,
NK-9goSohK3TckTGQTMLcPLMk,JSC GARNIZON,Company,,7704730084,"открытое акционерное общество ""оборонсервис""",,,,,,,,,,,,,,,,,,,,,,,
NK-iA58ygXXXGkaoMy8ipo6ea,JSC NPP Iskra Plant,Company,7325081527,7325081527,,,,,,,,,,,,,,,,,,,,,,,,
NK-KuEMAkd8L3ZrW544NJjpBv,JSC UEC Klimov,Company,7802375335,7802375335,,,,,,,,,,,,,,,,,,,,,,,,
NK-oBUeRCmc2coyuakNSktBmc,JSC MZ RIP,Organization,,3307001987,"акционерное общество ""муромский завод радиоизмерительных приборов""",,,,,,,,,,,,,,,,,,,,,,,
NK-mBimzquoMVJWnKG3pmSRp9,Aktsionernoe Obshchestvo Ravenstvo-Service,Company,7805417618,7805417618,,,,,,,,,,,,,,,,,,,,,,,,
NK-mcffK9a6ih82yZKjGyk9Ls,"Aktsionerne tovarystvo ""Pivdennyi tsentr sudnobuduvannia i sudnoremontu""",Company,,3023004670,"акционерное общество ""южный центр судостроения и судоремонта""",,,,,,,,,,,,,,,,,,,,,,,
NK-i3Y7aaRQfXUDGubVQNjRk4,SHIPREPAIRING AND SHIPBUILDING CORPORATION JSC,Organization,5260100856,5260100856,,,,,,,,,,,,,,,,,,,,,,,,
NK-jB934anQjMbzyDqZSBAwWV,JSC Plant Universalmash,Company,7805060220,7805060220,,,,,,,,,,,,,,,,,,,,,,,,
NK-LdyhnV2q6gvm4jTfriTdaS,JSC Design Bureau of Instrument-Making Named After Academic A. G. Shipunov,Company,,7105514574,,,,,,,,,,,,,,,,,,,,,,,,
NK-NFk7TtXMoZ2hkz5xvjtvxt,Aktsionerne tovarystvo «Astrakhanske sudnobudivne vyrobnyche obiednannia»,Company,,3017064287,,,,,,,,,,,,,,,,,,,,,,,,
NK-cVssfXLJuFJAJsLtieeHnU,Design Bureau Ametist JSC,Organization,,7723691017,,,,,,,,,,,,,,,,,,,,,,,,
NK-jSbxtz6q6t6CyMMSCuy3ur,"Tactical Missile Corporation, Zvezda-Strela Limited Liability Company",Company,,6154160069,,,,,,,,,,,,,,,,,,,,,,,,
NK-eNaYuw2EzaGHcugKEjvqE3,OJSC “Krasnoe Znamya” Plant,Company,,6229004711,,,,,,,,,,,,,,,,,,,,,,,,
NK-B8nuXxULCpfDFQ7dV2opmb,JSC “Region”,Organization,,7704095273,,,,,,,,,,,,,,,,,,,,,,,,
NK-YFoEUjid9yVwyByL9LBSJb,JSC VOENTORG,Company,,7704726183,,,,,,,,,,,,,,,,,,,,,,,,
NK-gj5aqiZbyxy5LVXHk6Hygt,JSC Uralcryomash,Company,,6667002727,,,,,,,,,,,,,,,,,,,,,,,,
